operation_id,visit_id,operation_type,aircraft_category,start_time,end_time,pax,stand_id,stand_type,walking_distance,is_contact
V_M02576_M02584_TURN,V_M02576_M02584,turnaround,C,2026-03-14 10:15:00,2026-03-14 10:55:00,272,113,contato,150.0,1
V_M02579_M02589_TURN,V_M02579_M02589,turnaround,C,2026-03-14 10:25:00,2026-03-14 11:10:00,372,109,contato,130.0,1
V_M02582_M02590_TURN,V_M02582_M02590,turnaround,C,2026-03-14 10:40:00,2026-03-14 11:15:00,140,111,contato,140.0,1
V_M02583_M02604_TURN,V_M02583_M02604,turnaround,C,2026-03-14 10:50:00,2026-03-14 12:05:00,372,108,contato,125.0,1
V_M02585_M02610_TURN,V_M02585_M02610,turnaround,C,2026-03-14 11:05:00,2026-03-14 12:35:00,272,115,contato,160.0,1
V_M02587_M02612_TURN,V_M02587_M02612,turnaround,C,2026-03-14 11:10:00,2026-03-14 12:40:00,272,110,contato,135.0,1
V_M02588_M02613_TURN,V_M02588_M02613,turnaround,C,2026-03-14 11:10:00,2026-03-14 12:40:00,272,112,contato,145.0,1
V_M02591_M02616_TURN,V_M02591_M02616,turnaround,C,2026-03-14 11:15:00,2026-03-14 12:50:00,272,118,contato,240.0,1
V_M02592_M02615_TURN,V_M02592_M02615,turnaround,C,2026-03-14 11:20:00,2026-03-14 12:45:00,372,107,contato,120.0,1
V_M02593_M02601_TURN,V_M02593_M02601,turnaround,C,2026-03-14 11:25:00,2026-03-14 12:00:00,236,109,contato,130.0,1
V_M02594_M02617_TURN,V_M02594_M02617,turnaround,C,2026-03-14 11:30:00,2026-03-14 12:50:00,272,125,contato,275.0,1
V_M02595_M02618_TURN,V_M02595_M02618,turnaround,C,2026-03-14 11:40:00,2026-03-14 12:55:00,348,111,contato,140.0,1
V_M02596_M02623_TURN,V_M02596_M02623,turnaround,C,2026-03-14 11:40:00,2026-03-14 13:00:00,272,113,contato,150.0,1
V_M02597_M02624_TURN,V_M02597_M02624,turnaround,C,2026-03-14 11:45:00,2026-03-14 13:00:00,272,122,contato,260.0,1
V_M02598_M02634_TURN,V_M02598_M02634,turnaround,C,2026-03-14 11:55:00,2026-03-14 13:40:00,348,114,contato,155.0,1
V_M02599_M02626_TURN,V_M02599_M02626,turnaround,C,2026-03-14 11:55:00,2026-03-14 13:10:00,272,121,contato,255.0,1
V_M02600_M02638_TURN,V_M02600_M02638,turnaround,C,2026-03-14 12:00:00,2026-03-14 14:00:00,272,119,contato,245.0,1
V_M02602_M02642_TURN,V_M02602_M02642,turnaround,C,2026-03-14 12:05:00,2026-03-14 14:05:00,272,124,contato,270.0,1
V_M02603_M02614_TURN,V_M02603_M02614,turnaround,C,2026-03-14 12:05:00,2026-03-14 12:45:00,140,128,contato,290.0,1
V_M02607_M02620_TURN,V_M02607_M02620,turnaround,C,2026-03-14 12:15:00,2026-03-14 12:55:00,352,109,contato,130.0,1
V_M02605_M02643_TURN,V_M02605_M02643,turnaround,C,2026-03-14 12:15:00,2026-03-14 14:10:00,272,116,contato,230.0,1
V_M02606_M02629_TURN,V_M02606_M02629,turnaround,C,2026-03-14 12:15:00,2026-03-14 13:15:00,140,127,contato,285.0,1
V_M02608_M02628_TURN,V_M02608_M02628,turnaround,C,2026-03-14 12:25:00,2026-03-14 13:10:00,440,108,contato,125.0,1
V_M02611_M02632_TURN,V_M02611_M02632,turnaround,A,2026-03-14 12:35:00,2026-03-14 13:25:00,18,129,contato,295.0,1
V_M02619_M02635_TURN,V_M02619_M02635,turnaround,C,2026-03-14 12:55:00,2026-03-14 13:45:00,348,112,contato,145.0,1
V_M02622_M02636_TURN,V_M02622_M02636,turnaround,C,2026-03-14 13:00:00,2026-03-14 13:45:00,372,107,contato,120.0,1
V_M02621_M02641_TURN,V_M02621_M02641,turnaround,C,2026-03-14 13:00:00,2026-03-14 14:05:00,348,110,contato,135.0,1
V_M02625_M02639_TURN,V_M02625_M02639,turnaround,A,2026-03-14 13:05:00,2026-03-14 14:00:00,18,115,contato,160.0,1
V_M02627_M02645_TURN,V_M02627_M02645,turnaround,C,2026-03-14 13:10:00,2026-03-14 14:30:00,272,109,contato,130.0,1
V_M02630_M02637_TURN,V_M02630_M02637,turnaround,C,2026-03-14 13:15:00,2026-03-14 13:55:00,140,113,contato,150.0,1
V_M02631_M02654_TURN,V_M02631_M02654,turnaround,C,2026-03-14 13:25:00,2026-03-14 15:45:00,272,111,contato,140.0,1
V_M02633_M02648_TURN,V_M02633_M02648,turnaround,C,2026-03-14 13:40:00,2026-03-14 15:00:00,236,108,contato,125.0,1
V_M02640_M02647_TURN,V_M02640_M02647,turnaround,C,2026-03-14 14:05:00,2026-03-14 14:55:00,348,107,contato,120.0,1
V_M02644_M02651_TURN,V_M02644_M02651,turnaround,C,2026-03-14 14:25:00,2026-03-14 15:25:00,352,110,contato,135.0,1
V_M02646_M02662_TURN,V_M02646_M02662,turnaround,C,2026-03-14 14:45:00,2026-03-14 16:20:00,236,109,contato,130.0,1
V_M02650_M02656_TURN,V_M02650_M02656,turnaround,C,2026-03-14 15:20:00,2026-03-14 16:00:00,372,108,contato,125.0,1
V_M02649_M02674_TURN,V_M02649_M02674,turnaround,C,2026-03-14 15:20:00,2026-03-14 17:35:00,236,115,contato,160.0,1
V_M02652_M02664_TURN,V_M02652_M02664,turnaround,C,2026-03-14 15:35:00,2026-03-14 16:30:00,372,107,contato,120.0,1
